wavelength,flux
4939.706664,1.364787E-14
4942.661287,1.358319E-14
4945.615911,1.363877E-14
4948.570534,1.372358E-14
4951.525157,1.37754e-14
4954.47978,1.381432E-14
4957.434403,1.369692E-14
4960.389027,1.365943E-14
4963.34365,1.373392E-14
4966.298273,1.397545E-14
4969.252896,1.402936E-14
4972.20752,1.392861E-14
4975.162143,1.39543e-14
4978.116766,1.397686E-14
4981.071389,1.39848e-14
4984.026012,1.397565E-14
4986.980636,1.401394E-14
4989.935259,1.407014E-14
4992.889882,1.40699e-14
4995.844505,1.399688E-14
4998.799129,1.404487E-14
5001.753752,1.420659E-14
5004.708375,1.437353E-14
5007.662998,1.445942E-14
5010.617621,1.436227E-14
5013.572245,1.427232E-14
5016.526868,1.440959E-14
5019.481491,1.437744E-14
5022.436114,1.416778E-14
5025.390738,1.427115E-14
5028.345361,1.44665e-14
5031.299984,1.457232E-14
5034.254607,1.460241E-14
5037.20923,1.452337E-14
5040.163854,1.442182E-14
5043.118477,1.444013E-14
5046.0731,1.460196E-14
5049.027723,1.487004E-14
5051.982347,1.512598E-14
5054.93697,1.5085e-14
5057.891593,1.495133E-14
5060.846216,1.49865e-14
5063.800839,1.500768E-14
5066.755463,1.514687E-14
5069.710086,1.534404E-14
5072.664709,1.530434E-14
5075.619332,1.520992E-14
5078.573956,1.51518e-14
5081.528579,1.526449E-14
5084.483202,1.542743E-14
5087.437825,1.555434E-14
5090.392448,1.560063E-14
5093.347072,1.566113E-14
5096.301695,1.569261E-14
5099.256318,1.561515E-14
5102.210941,1.557382E-14
5105.165565,1.583855E-14
5108.120188,1.589519E-14
5111.074811,1.588673E-14
5114.029434,1.591106E-14
5116.984057,1.605374E-14
5119.938681,1.605363E-14
5122.893304,1.599024E-14
5125.847927,1.599127E-14
5128.80255,1.601549E-14
5131.757174,1.62235e-14
5134.711797,1.629557E-14
5137.66642,1.623132E-14
5140.621043,1.619864E-14
5143.575666,1.621357E-14
5146.53029,1.615449E-14
5149.484913,1.617006E-14
5152.439536,1.621725E-14
5155.394159,1.610205E-14
5158.348783,1.615429E-14
5161.303406,1.613668E-14
5164.258029,1.610268E-14
5167.212652,1.618859E-14
5170.167275,1.632183E-14
5173.121899,1.628732E-14
